record_id,pdf_page_start,pdf_page_end,row_type,book,chapter_start,verse_start,chapter_end,verse_end,verse_reference,assignment_source,section,chapter,text
1,1,1,paragraph,,,,,,,unassigned,,,Andrews Bible
2,1,1,paragraph,,,,,,,unassigned,,,Commentary
3,1,1,paragraph,,,,,,,unassigned,,,Light. Depth. Truth.
4,1,1,paragraph,,,,,,,unassigned,,,General Editor
5,1,1,paragraph,,,,,,,unassigned,,,Angel Manuel Rodriguez
6,1,1,paragraph,,,,,,,unassigned,,,Associate Editors
7,1,1,paragraph,,,,,,,unassigned,,,Daniel Kwame Bediako
8,1,1,paragraph,,,,,,,unassigned,,,Carl P. Cosaert
9,1,1,paragraph,,,,,,,unassigned,,,Gerald A. Klingbeil
10,1,1,paragraph,,,,,,,unassigned,,,OLD TESTAMENT
11,1,1,paragraph,,,,,,,unassigned,,,*tW~f~~~
12,1,2,paragraph,,,,,,,unassigned,,,"Berrien Springs, Michigan 8360 W. Campus Circle Dr. Berrien Springs, MI 49104-1700 Telephone: 269-471-6134 Fax: 269-471-6224 Email: aupo@andrews.edu Website: http://universitypress.andrews.edu"
13,2,2,paragraph,,,,,,,unassigned,,,Copyright © 2020 by Andrews University Press
14,2,2,paragraph,,,,,,,unassigned,,,"All rights reserved. No part of this volume may be used or reproduced in any manner or translated into other languages without written permission from the publisher, except in the case of brief quotations embodied in articles and reviews. Some of the content for the short notes and essays in this volume, separated typographically from the regular commentary, has been adapted from articles written by the General Editor and originally published in Adventist World. Used by permission."
15,2,2,paragraph,,,,,,,unassigned,,,ISBN: 978-1-936337-21-7
16,2,2,paragraph,,,,,,,unassigned,,,Printed in the United States of America 24 23 22 21 20 1 2 3 4 5
17,2,2,paragraph,,,,,,,unassigned,,,Library of Congress Cataloging-in-Publication Data
18,2,2,paragraph,,,,,,,unassigned,,,"I Names: Rodriguez, Angel Manuel, 1945- editor. Bediako, Daniel Kwame,"
19,2,2,paragraph,,,,,,,unassigned,,,I I
20,2,2,paragraph,,,,,,,unassigned,,,"1976- editor. Cosaert, Carl P., 1968- editor. Klingbeil, Gerald A., 1964- editor. Title: Andrews Bible commentary. Old Testament / general editor, Angel"
21,2,2,paragraph,,,,,,,unassigned,,,"Manuel Rodriguez; associate editors, Daniel Kwame Bediako, Carl P."
22,2,2,paragraph,,,,,,,unassigned,,,"Cosaert, Gerald A. Klingbeil."
23,2,2,paragraph,,,,,,,unassigned,,,"I Description: Berrien Springs, Michigan: Andrews University Press, [2020)"
24,2,2,paragraph,,,,,,,unassigned,,,I Identifiers: LCCN 2019059294 ISBN 9781936337217 (hardcover) Subjects: LCSH: Bible. Old Testament--Commentaries.
25,2,2,paragraph,,,,,,,unassigned,,,I Classification: LCC BS1151.52 .A64 2020 DDC 221.7--dc23 LC record available at https://iccn.loc.gov/2019059294
26,3,3,paragraph,,,,,,,unassigned,,,CONTENTS
27,3,3,paragraph,,,,,,,unassigned,,,"Publisher's Preface ..................................................................... vii Project Committee ......................................................................i x Editors .................................................................................. x Contributors ............................................................................x i Publication ............................................................................ xv Essays, Tables, and Charts ........................................................•.... xvi Abbreviations ......................................................................... xxi Introduction ......................................................................... xxiv"
28,3,3,paragraph,,,,,,,unassigned,,,General Articles Hope and the Advent of God ............................................................ 2 Revelation and Inspiration ofthe Bible ..........................................•....... 11 Formation ofthe Biblical Canon ........................................................2 1 Biblical Interpretation .................................................................. 35 Interpreting Biblical Apocalyptic Prophecies ........................................... .46 Faith and Science ......................................................................5 7 Archaeology and the Bible ............................................................. 77 Old Testament Timeline ................................................................9 4 A Chronology Following the Internal Timeline of the Bible ..............................1 11
29,3,3,paragraph,,,,,,,unassigned,,,Pentateuch Introduction to the Pentateuch ........................................................1 20 Genesis ....................................................................•.....•....1 38 Exodus ...............................................................................1 96 Leviticus ..............................................................................2 37 Numbers .............................................................................2 82 Deuteronomy ........................................................................ .312
30,3,4,paragraph,,,,,,,unassigned,,,"Historical Books Introduction to the Old Testament Historical Books ....................................3 50 Joshua ............................................................................... .364 Judges. .............................................................................. .391 Ruth ................................... "" ............................................ .418 1 Samuel .............................................................................4 27 2 Samuel ............................................................................ .453 1 Kings ...............................................................................4 75 2 Kings ...............................................................................4 99 1 Chronicles ......................................................................... .525 2 Chronicles ..........................................................................5 46 Ezra ..................................................................................5 73 Nehemiah ........................................................................... .590 Esther ................................................................................6 03"
31,4,4,paragraph,,,,,,,unassigned,,,Poetry and Wisdom Books Introduction to Hebrew Poetry and Wisdom Books .....................................6 14 Job ...................................................................................6 24 Psalms ................................................................................6 58 Proverbs ............................................................................. .760 Ecclesiastes .......................................................................... .794 Song of Songs ........................................................................8 07
32,4,4,paragraph,,,,,,,unassigned,,,Prophetic Books Introduction to the Prophetic Books ...................................................8 20 Isaiah .................................................................................8 34 Jeremiah .............................................................................9 02 Lamentations .........................................................................9 63 Ezekiel. ...............................................................................9 71 Daniel ..............•............................................................... 1019 Hosea .............................................................................. 1062 JoeL ................................................................................ 1079 Amos ............................................................................... 1086 Obadiah ............................................................................ 1097 Jonah ............................................................................... 1102 Micah .............................................................................. 1109 Nahum ............................................................................. 1117 Habakkuk. .......................................................................... 1121 Zephaniah .......................................................................... 1127 Haggai ............................................................................. 1132 Zechariah ........................................................................... 1138 Malachi ............................................................................. 1152
33,5,5,paragraph,,,,,,,unassigned,,,PUBLISHER'S PREFACE
34,5,5,paragraph,,,,,,,unassigned,,,"You hold in your hands a work unique in the history of the vibrant faith community that has sponsored its publication. This volume marks another, perhaps inevitable, step in the searching for and unfolding of truth that is a hallmark of the Reformation and the Advent movement."
35,5,5,paragraph,,,,,,,unassigned,,,"Commentaries on the Bible, from many faith traditions and perspectives, have been an important part of serious Bible study for centuries. Seventh-day Adventists have always placed the Bible alone as authoritative above all human opinion on what it says. At the same time, we have been blessed by the insights of many scholars through various Bible commentaries from these faith traditions, even while holding some significant differences in interpretation on several of the grandest and most vital themes of Scripture."
36,5,5,paragraph,,,,,,,unassigned,,,"In the 1950s, the publication of the multivolume, verse-by-verse Seventh-day Adventist Bible Commentary met with an enthusiastic reception within the Adventist world far beyond all initial expectations. Its influence on biblical understanding in our community of faith has been profound. It has served the church well for more than sixty years."
37,5,5,paragraph,,,,,,,unassigned,,,"In 2008, Andrews University was honored to be asked to produce another major landmark in the history of Adventist engagement with Scripture. The Andrews Study Bible, originally produced in the New King James Version (2010) and now also in the New International Version (2019), contains thousands of study notes written by prominent and thoughtful Adventist scholars. It also includes a unique linked reference system highlighting the greatest themes of the Bible. It was published with sponsorship and funding by the General Conference of Seventh-day Adventists and has been identified as the most comprehensive one-volume Bible study resource in the Adventist world."
38,5,5,paragraph,,,,,,,unassigned,,,"Led by Niels-Erik Andreasen, then president of Andrews University, planning began almost immediately after the release of the Andrews Study Bible to next produce a concise, full-featured Bible commentary as a companion to the Andrews Study Bible. With sponsorship and funding again from the General Conference, Andrews University authorized a worldwide team of some sixty scholars and Bible teachers, under the leadership of Angel Manuel Rodriguez, to produce this landmark work which you now hold in your hands. As former director of the General Conference Biblical Research Institute, Dr. Rodriguez was uniquely qualified for this work because of his expertise in biblical studies, his personal acquaintance with scores of scholars, and his worldwide reputation for faithfulness in effectively communicating the message and mission of the Bible as understood by Seventh-day Adventists."
39,6,6,paragraph,,,,,,,unassigned,,,"It is our intent that the Andrews Bible Commentary complement the Andrews Study Bible. We believe that together these two great works form a complete, ready-reference resource for every believer."
40,6,6,paragraph,,,,,,,unassigned,,,The earnest desire of the publishers is that the Andrews Bible Commentary may inspire your deeper engagement with God's word and increase your fervent expectation of the Advent Hope.
41,6,6,paragraph,,,,,,,unassigned,,,"Andrea Luxton President, Andrews University Executive Publisher, Andrews Bible Commentary"
42,7,7,paragraph,,,,,,,unassigned,,,PROJECT
43,7,7,paragraph,,,,,,,unassigned,,,"As delegated by the Andrews University Press Andrews Bible Commentary has been guided by 2012. The members are listed below with the time that the Project Committee conducted its opment of the purpose and concept, arranged approved the team of contributors."
